file,obs_id,frame_index,size,mode,station,start,ax25_dest,ax25_src,ax25_control,ax25_pid,ascii_hint,hex_prefix
14633961_000.bin,14633961,000,80,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0,7..3...F..O.....................................................,9c86aa8ea662e0a08a82a49884e103f037110133bd04014600014f0000000000
14633961_001.bin,14633961,001,80,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0,6..3...F....x}..... @H..D.A.....................................,9c86aa8ea662e0a08a82a49884e103f036110133bc040146000184b1787d09a8
14633961_002.bin,14633961,002,80,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0,5..3...E..%.0iG.F.5?>.....2........!X.......n...F....D..... p...,9c86aa8ea662e0a08a82a49884e103f035110133bb04014500012500306947e1
14633961_003.bin,14633961,003,80,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0,"4..3.............p...E..L.D..e.. ,....x}..... @H.$..A...........",9c86aa8ea662e0a08a82a49884e103f034110133ba04011d00010a0000c30700
14633961_004.bin,14633961,004,64,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0,....C3..bB..........90..........!...............,9c86aa8ea662e0a08a82a49884e103f02e1101834333a9e76242000000000000
14633961_005.bin,14633961,005,56,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0,-...C3...............r......H...........,9c86aa8ea662e0a08a82a49884e103f02d1101824333ebca00009f0100000400
14633961_006.bin,14633961,006,88,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0,",...C3..................................................................",9c86aa8ea662e0a08a82a49884e103f02c110181433300000000000000000000
14633961_007.bin,14633961,007,87,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0,"+...PEARL-1B : ATRDC, HHRI, ITRI, NCU, and RAITEK say hello to everyone",9c86aa8ea662e0a08a82a49884e103f02b110180504541524c2d3142203a2041
14633961_008.bin,14633961,008,34,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0,&..3...g.....]b...,9c86aa8ea662e0a08a82a49884e103f026110133b404016700010791ff5d6200
14633961_009.bin,14633961,009,80,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0,%..3...F.............................Y........;...m...g........;,9c86aa8ea662e0a08a82a49884e103f025110133b304014600011a0000000000
14633961_010.bin,14633961,010,80,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0,$..3...F..O.....................................................,9c86aa8ea662e0a08a82a49884e103f024110133b204014600014f0000000000
14633961_011.bin,14633961,011,80,GFSK,South Australia - UHF,2026-07-30T01:30:20Z,NCUGS1,PEARLB,0x03,0xf0, ..3......?.......&...p...............p...7.......>...p.......B.,9c86aa8ea662e0a08a82a49884e103f020110133ae04011d00013f130000bb00
